"","b"
"(Intercept)",29.2118511966811
"dist1_mod_disc2",4.1878485452899
"dist1_mod_disc3",-0.23733262588155
"dist1_mod_disc4",0.0456877664944569
"dist1_mod_disc5",0.112970939880034
"dist2_mod_disc2",1.2187085387905
"dist2_mod_disc3",0.811733622929691
"dist2_mod_disc4",0.0628998622288663
"dist2_mod_disc5",7.39328690283356
"YawDiff1_mod_disc2",-8.41112590152172
"YawDiff1_mod_disc3",-8.50701466765926
"YawDiff1_mod_disc4",-8.45285103417432
"YawDiff1_mod_disc5",-8.36266754171047
"YawDiff2_mod_disc2",-9.19664556297769
"YawDiff2_mod_disc3",-9.22868445785613
"YawDiff2_mod_disc4",-9.17278950649442
"YawDiff2_mod_disc5",-9.67221672837761
"speed_SGF_disc2",-2.2331682480064
"speed_SGF_disc3",-3.37140931953439
"speed_SGF_disc4",-4.09200888256638
"speed_SGF_disc5",-4.71707483119839
